RECID,TIMESTMP,CON_ID,DET_ID,TAG_ID,ERRORCODE,ERRORMSG,LATENESS,SYSID,VEH_NUM,EVFLAG,lat,lon
120694,11/28/2017 14:53,0,730,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006235,-118.429199
120695,11/28/2017 14:53,0,730,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,34.006235,-118.429199
120696,11/28/2017 14:53,0,730,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006235,-118.429199
120697,11/28/2017 14:53,0,730,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.006235,-118.429199
120698,11/28/2017 14:53,312,730,5614,68111,ISSUED: Start prty(EV# 10).,0,2,E-998,0,34.006235,-118.429199
120705,11/28/2017 14:53,0,830,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005625,-118.4302
120706,11/28/2017 14:53,0,830,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.005625,-118.4302
120707,11/28/2017 14:53,0,830,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.005625,-118.4302
120708,11/28/2017 14:53,0,830,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.005625,-118.4302
120709,11/28/2017 14:53,0,830,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,34.005625,-118.4302
120710,11/28/2017 14:53,311,830,5614,68111,ISSUED: Start prty(EV# 8).,0,2,E-998,0,34.005625,-118.4302
120729,11/28/2017 14:53,0,828,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.004305,-118.432582
120730,11/28/2017 14:53,310,828,5614,68111,ISSUED: Start prty(EV# 5).,0,2,E-998,0,34.004305,-118.432582
120793,11/28/2017 14:54,0,726,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.003723,-118.433821
120794,11/28/2017 14:54,310,726,5614,68112,ISSUED: Cancel prty(EV# 5).,0,2,E-998,0,34.003723,-118.433821
120810,11/28/2017 14:55,0,724,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.003501,-118.434269
120811,11/28/2017 14:55,358,724,5614,68111,ISSUED: Start prty(EV# 10).,0,2,E-998,0,34.003501,-118.434269
121059,11/28/2017 14:59,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0,#N/A,#N/A
121062,11/28/2017 14:59,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
126638,11/28/2017 16:05,0,730,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006235,-118.429199
126639,11/28/2017 16:05,0,730,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,34.006235,-118.429199
126640,11/28/2017 16:05,0,730,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006235,-118.429199
126641,11/28/2017 16:05,0,730,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.006235,-118.429199
126642,11/28/2017 16:05,312,730,5614,68111,ISSUED: Start prty(EV# 11).,0,2,E-998,0,34.006235,-118.429199
126658,11/28/2017 16:05,0,830,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005625,-118.4302
